artwork_id,title,artist_id,art_type,year,image_url,description,museum_id,medium,dimensions,museum_page_url,on_view,highlight
artwork_0000001,Self-Portrait,vincent-van-gogh,painting,1889,"https://api.nga.gov/iiif/54ee6643-e0f9-4b92-a1d2-441e5108724d/full/!800,800/0/default.jpg","Vincent van Gogh painted 36 self-portraits. This was one of his last. Made at the asylum of Saint-Paul-de-Mausole in Saint-Rémy, where the artist was recovering from a severe breakdown, it is intense in every way. The swirling brushstrokes around his head are dynamic, the blues and violets of his smock are electric, and his narrowed gaze is unwavering. The artist’s bright orange hair and rust-colored beard accentuate his sallow skin and add to his gaunt appearance. Still working despite his illness, Van Gogh keeps a tight grip on his brushes and palette.",national-gallery-of-art-washington-us,Oil on canvas,57.79 × 44.5 cm (22 3/4 × 17 1/2 in.); framed: 77.5 × 63.7 × 6.7 cm (30 1/2 × 25 1/16 × 2 5/8 in.),https://www.nga.gov/artworks/106382-self-portrait,TRUE,TRUE
artwork_0000002,Portrait of Rembrandt,rembrandt,painting,1650,"https://api.nga.gov/iiif/99356b71-7652-482d-87c2-b99b94382742/full/!800,800/0/default.jpg","After learning the fundamentals of drawing and painting in his native Leiden, Rembrandt van Rijn went to Amsterdam in 1624 to study for six months with Pieter Lastman (1583–1633), a famous history painter. Upon completion of his training Rembrandt returned to Leiden. Around 1632 he moved to Amsterdam, quickly establishing himself as the town’s leading artist, specializing in history paintings and portraiture. He received many commissions and attracted a number of students who came to learn his method of painting. Although this painting was once highly regarded as a famous self-portrait, technical and stylistic evidence indicates that it was created by an unknown artist in Rembrandt’s workshop. The paint mixtures, types of pigments used, and presence of a double ground—a red lower ground covered by a dark gray upper layer—are all consistent with the materials and practices used in his workshop. This painting is unusual in that the costume is executed in a manner quite different from the face; whereas the features are modeled with delicate nuance, the costume is hinted at with a variety of bold techniques. Rembrandt’s portraits generally do not show such markedly different techniques in the face and the costume. This and other stylistic considerations are sufficient to remove the painting from Rembrandt's own oeuvre. It may well be that Rembrandt, after having posed for this painting, approved its concept and manner of execution before allowing its sale. To judge from the number of self-portraits Rembrandt painted and etched, and from the numerous portraits of him made by members of his workshop, there was a ready market for images of the artist.",national-gallery-of-art-washington-us,Oil on canvas,overall: 92 x 75.5 cm (36 1/4 x 29 3/4 in.); framed: 125.1 x 107 x 11.4 cm (49 1/4 x 42 1/8 x 4 1/2 in.),https://www.nga.gov/artworks/1209-portrait-rembrandt,FALSE,FALSE
artwork_0000003,"The Artist's Son, Paul",paul-cézanne,painting,1886-1887,"https://api.nga.gov/iiif/60813dbf-937b-482d-b050-87104b70bb29/full/!800,800/0/default.jpg",,national-gallery-of-art-washington-us,oil on canvas,overall: 65.3 x 54 cm (25 11/16 x 21 1/4 in.); framed: 90.8 x 80.6 cm (35 3/4 x 31 3/4 in.),https://www.nga.gov/artworks/46575-artists-son-paul,TRUE,FALSE
artwork_0000004,Woman with a Parasol - Madame Monet and Her Son,claude-monet,painting,1875,"https://api.nga.gov/iiif/99758d9d-c10b-4d02-a198-7e49afb1f3a6/full/!800,800/0/default.jpg","The artist’s wife Camille stands on a hill with their son Jean behind her. Monet worked quickly to record this moment. Sketching the sky in chaotic strokes of blue and gray, he left areas of canvas exposed in his haste. The grass is more densely painted in short brushstrokes of green, blue, and brown. Small dabs of yellow suggest buttercups, and the color is reflected on Camille’s sleeve. The dense slashes of brilliant white on the back of her skirt and jacket catch the light. Completed in a single outdoor session, this is a celebration of color and light.",national-gallery-of-art-washington-us,Oil on canvas,overall: 100 x 81 cm (39 3/8 x 31 7/8 in.); framed: 119.4 x 99.7 cm (47 x 39 1/4 in.),https://www.nga.gov/artworks/61379-woman-parasol-madame-monet-and-her-son,TRUE,TRUE
artwork_0000005,"Bazille and Camille (Study for ""Déjeuner sur l'Herbe"")",claude-monet,painting,1865,"https://api.nga.gov/iiif/bfd3764c-8711-4b04-9f02-ed6b07995d40/full/!800,800/0/default.jpg","Monet’s future wife Camille Doncieux, and his friend, painter Frédéric Bazille, posed for this painting. The artist recorded his observations of the scene in this preparatory study for a much larger work. He applied paint quickly with short, energetic strokes, roughly sketching out the landscape. The light streams through the tree branches overhead, dappling the ground. And Monet paid careful attention to the effects of sunlight on clothing. Although intended as a reference for his final composition, this sketch has a vitality all its own.",national-gallery-of-art-washington-us,Oil on canvas,overall: 93 x 68.9 cm (36 5/8 x 27 1/8 in.); framed: 121.9 x 98.4 x 10.7 cm (48 x 38 3/4 x 4 3/16 in.),https://www.nga.gov/artworks/52185-bazille-and-camille-study-dejeuner-sur-lherbe,TRUE,FALSE
artwork_0000006,The Japanese Footbridge,claude-monet,painting,1899,"https://api.nga.gov/iiif/0b9cefb5-1ee4-401a-8154-8d4039191a28/full/!800,800/0/default.jpg","In 1883 Monet moved his household, his two sons along with Alice Hoschedé and her children, to the rural community of Giverny, where he leased a house that he was able to purchase seven years later. In early 1893, he acquired a swampy area across the railroad tracks abutting his property and petitioned the village council for permission to divert a small stream into it. But it was only toward the end of that decade that he turned to the garden he had created there as a rich source of artistic inspiration. In 1899, Monet painted 12 works from a single vantage point, focusing on the arching blue–green bridge and the microcosm of his water garden. Among the 12 works was the National Gallery's Japanese Footbridge. Monet designed and built the landscape that appears in the painting—from the bridge to the pond and its shape, to the water lilies and other plantings. The artist, who as a leader of the impressionists had espoused the spontaneity of directly observed works that capture the fleeting effects of light and color, had in these later paintings subjected a nature he re–created to sustained, meditated scrutiny. When Monet exhibited these paintings at Durand–Ruel's gallery in 1890, a number of critics mentioned his debt to Japanese art. More telling, the impenetrable green enclosure—heightened in the National Gallery painting by the placement of the top of the bridge's arch just below the painting's top edge—harkens back to the hortus conclusus (closed garden) of medieval images, while also evoking a dreamlike contemplative zone consonant with symbolist literature, especially poems such as ""Le Nénuphar blanc"" by Stéphane Mallarmé. Gustave Geffroy described this effect in his review of the exhibition (Le Journal, November 26, 1900), speaking of ""this minuscule pool where some mysterious corollas blossom,"" and ""a calm pool, immobile, rigid, and deep like a mirror, upon which white water lilies blossom forth, a pool surrounded by soft and hanging greenery which reflects itself in it.""",national-gallery-of-art-washington-us,Oil on canvas,overall: 81.3 x 101.6 cm (32 x 40 in.); framed: 101 x 120.7 x 7.6 cm (39 3/4 x 47 1/2 x 3 in.),https://www.nga.gov/artworks/74796-japanese-footbridge,TRUE,TRUE
artwork_0000007,The Artist's Garden in Argenteuil (A Corner of the Garden with Dahlias),claude-monet,painting,1873,"https://api.nga.gov/iiif/4196f97b-1edb-4fae-aa9f-882afe35978b/full/!800,800/0/default.jpg",,national-gallery-of-art-washington-us,Oil on canvas,overall: 61 x 82.5 cm (24 x 32 1/2 in.); framed: 94.6 x 114.3 x 8.8 cm (37 1/4 x 45 x 3 7/16 in.),https://www.nga.gov/artworks/72138-artists-garden-argenteuil-corner-garden-dahlias,TRUE,FALSE
artwork_0000008,"Waterloo Bridge, London, at Sunset",claude-monet,painting,1904,"https://api.nga.gov/iiif/e5c0853d-e3ac-49c2-884e-c0ac3b0af597/full/!800,800/0/default.jpg",,national-gallery-of-art-washington-us,Oil on canvas,overall: 65.5 × 92.7 cm (25 13/16 × 36 1/2 in.); framed: 84.46 × 111.13 × 8.89 cm (33 1/4 × 43 3/4 × 3 1/2 in.),https://www.nga.gov/artworks/61378-waterloo-bridge-london-sunset,TRUE,FALSE
artwork_0000009,"Waterloo Bridge, London, at Dusk",claude-monet,painting,1904,"https://api.nga.gov/iiif/a7858589-5528-4273-bb1a-638c6a3caca7/full/!800,800/0/default.jpg",,national-gallery-of-art-washington-us,Oil on canvas,overall: 65.7 × 101.6 cm (25 7/8 × 40 in.); framed: 84.46 × 120.02 × 9.53 cm (33 1/4 × 47 1/4 × 3 3/4 in.),https://www.nga.gov/artworks/61377-waterloo-bridge-london-dusk,TRUE,FALSE
artwork_0000010,"Rouen Cathedral, West Façade, Sunlight",claude-monet,painting,1894,"https://api.nga.gov/iiif/b9b6782a-cbf0-4e36-84da-98af87891775/full/!800,800/0/default.jpg","Your experience of these paintings changes depending on where you stand. From afar, the architecture of Rouen Cathedral seems sturdy and imposing. The thick texture of Monet’s paint heightens the effect. But as you move closer, the cathedral seems to dissolve into fragments of color. The illusion of its solidity comes apart. Monet painted a series of more than 30 views of Rouen Cathedral in Normandy between 1892 and 1893. He moved from one canvas to another to capture the distinctive effects of light and atmosphere throughout the day. He finished the canvases in his studio in nearby Giverny in 1894.",national-gallery-of-art-washington-us,Oil on canvas,overall: 100.1 x 65.8 cm (39 3/8 x 25 7/8 in.); framed: 127.6 x 91.4 cm (50 1/4 x 36 in.),https://www.nga.gov/artworks/46654-rouen-cathedral-west-facade-sunlight,TRUE,TRUE
